ticker,start_date,end_date
BCO,1/2/96,1/22/96
CCB,1/2/96,2/12/96
HDLM,1/2/96,3/8/96
FBO,1/2/96,3/13/96
CYR,1/2/96,3/28/96
CMB,1/2/96,4/1/96
I,1/2/96,4/1/96
LOR,1/2/96,4/23/96
PMI,1/2/96,5/31/96
USHC,1/2/96,7/19/96
CAL,1/2/96,7/22/96
COV,1/2/96,8/16/96
VAT,1/2/96,9/6/96
OM,1/2/96,10/1/96
THY,1/2/96,10/16/96
YRCW,1/2/96,11/4/96
CNW,1/2/96,12/3/96
BLY,1/2/96,12/19/96
LUB,1/2/96,1/2/97
RYAN,1/2/96,1/2/97
SHN,1/2/96,1/2/97
BOAT,1/2/96,1/7/97
AAL,1/2/96,1/15/97
PAC,1/2/96,4/1/97
GLD,1/2/96,5/6/97
CRR,1/2/96,5/27/97
DWD,1/2/96,6/2/97
USH,1/2/96,6/18/97
PEL,1/2/96,6/19/97
GWF,1/2/96,7/2/97
GIDL,1/2/96,7/17/97
INGR,1/2/96,7/28/97
SFS,1/2/96,7/28/97
MD,1/2/96,8/1/97
USBC,1/2/96,8/4/97
ENS,1/2/96,8/6/97
NAE,1/2/96,8/7/97
NYN,1/2/96,8/15/97
TDM,1/2/96,9/2/97
AMH,1/2/96,9/15/97
SRR,1/2/96,10/7/97
LLX,1/2/96,10/23/97
SB,1/2/96,11/28/97
BEV,1/2/96,12/4/97
HFS,8/16/96,12/18/97
FLMIQ,1/2/96,12/24/97
BBI,1/2/96,1/12/98
ECO,1/2/96,1/20/98
CBB,1/2/96,1/28/98
PAS,1/2/96,1/30/98
JH,1/2/96,4/1/98
SK,1/2/96,4/1/98
CHRS,1/2/96,4/8/98
FG,1/2/96,4/27/98
CFL,1/2/96,4/28/98
DEC,1/2/96,6/12/98
PET,1/2/96,6/29/98
BNL,1/2/96,7/1/98
GNT,3/13/96,7/1/98
RYI,1/2/96,7/1/98
ECH,1/2/96,7/10/98
GFS.A,1/2/96,7/16/98
WMX,1/2/96,7/17/98
WAI,1/2/96,8/11/98
MST,1/2/96,8/14/98
DIGI,1/2/96,8/28/98
BAY,2/12/96,8/31/98
MCIC,1/2/96,9/15/98
MNR,1/2/96,9/28/98
DI,1/2/96,9/30/98
AHM,1/2/96,10/1/98
FCN,1/2/96,10/2/98
USS,1/2/96,10/2/98
GSX,1/2/96,10/7/98
CCI,1/2/96,10/8/98
STO,1/2/96,11/18/98
AS,1/2/96,11/24/98
GRN,1/2/96,12/22/98
PZE,1/2/96,12/31/98
AN,1/2/96,1/4/99
FL,1/2/96,1/4/99
SAI,7/17/97,1/4/99
HBOC,10/23/97,1/13/99
ORX,1/2/96,3/1/99
TCOMA,1/2/96,3/10/99
RBD,1/2/96,3/25/99
AMP,1/2/96,4/5/99
ANV,1/2/96,4/12/99
UCC,1/2/96,5/3/99
FMY,7/10/98,5/28/99
MWI,1/2/96,5/28/99
BT,1/2/96,6/4/99
HPH,1/2/96,6/9/99
MII,1/2/96,6/22/99
ASC,1/2/96,6/24/99
ASND,6/12/98,6/25/99
PVT,8/31/98,7/1/99
TA,1/2/96,7/22/99
BFI,1/2/96,8/2/99
NLC,1/2/96,8/2/99
BMGCA,7/22/96,8/9/99
RYC,1/2/96,8/13/99
MTL,2/23/98,9/20/99
FRO,1/2/97,9/29/99
BKB,1/2/96,10/1/99
FTL.A,1/2/96,10/1/99
PHB,1/2/96,10/4/99
AIT,1/2/96,10/11/99
DGN,1/2/96,10/13/99
CYM,1/2/96,10/18/99
SNT,1/2/96,10/26/99
AR,1/2/96,10/27/99
TEN,1/2/96,11/5/99
HRS,1/2/96,11/8/99
CSE,1/22/96,11/15/99
KWP,1/2/96,11/16/99
PPW,1/2/96,11/30/99
MOB,1/2/96,12/1/99
LDW.B,1/2/96,12/8/99
HP,1/2/96,12/31/99
RNB,1/2/96,1/3/00
NLV,4/1/96,1/6/00
CNG,1/2/96,1/31/00
FLTWQ,1/2/96,1/31/00
FWLT,1/2/96,1/31/00
SCI,1/2/96,3/16/00
PBY,1/2/96,4/3/00
PNU,1/2/96,4/3/00
ARC,1/2/96,4/18/00
RLM,1/2/96,5/4/00
JOS,1/2/96,5/10/00
MIR,8/7/97,6/1/00
NC,1/2/96,6/5/00
SMS,1/2/96,6/8/00
TMC,1/2/96,6/13/00
TMC.A,1/2/96,6/13/00
UMG,1/2/96,6/15/00
CSR,1/2/96,6/16/00
CHA,1/2/96,6/19/00
WLA,1/2/96,6/20/00
SGID,1/2/96,6/21/00
IKN,1/2/96,6/29/00
MZIAQ,1/2/96,6/29/00
GTE,1/2/96,7/3/00
USW,1/2/96,7/3/00
KSU,4/5/99,7/13/00
UPR,10/16/96,7/17/00
RAD,1/2/96,7/27/00
COMS,1/2/96,7/28/00
NCE,11/3/98,8/21/00
GAPTQ,1/2/96,8/30/00
OWENQ,1/2/96,10/2/00
BFO,1/2/96,10/3/00
YNR,1/6/00,10/3/00
MKG,1/2/96,10/18/00
UCM,1/2/96,10/23/00
CG,1/2/96,11/2/00
EFU,1/2/96,11/2/00
PWJ,6/4/99,11/6/00
ACKH,1/2/96,11/17/00
SEG,8/16/96,11/22/00
FJ,1/2/96,11/24/00
AFS.A,4/8/98,12/1/00
FPC,6/22/99,12/1/00
BHMSQ,1/2/96,12/11/00
CCK,1/2/96,12/11/00
GRA,1/2/96,12/11/00
OI,8/4/97,12/11/00
VO,1/2/96,12/11/00
NGH,9/16/98,12/12/00
PRD,1/2/96,12/12/00
RML,1/2/96,12/12/00
SMI,1/2/96,12/12/00
MEE,1/2/96,12/22/00
CGP,1/2/96,1/30/01
UK,1/2/96,2/7/01
SUB,1/28/98,3/1/01
CEN,1/2/96,4/2/01
OK,12/2/99,4/2/01
BGG,1/2/96,4/3/01
SXCL,10/1/99,5/14/01
CIT.A,7/17/00,6/4/01
AZA.A,1/2/96,6/25/01
H,1/2/96,6/29/01
LDG,1/2/96,7/2/01
PCH,1/2/96,7/9/01
OAT,1/2/96,8/3/01
ETS,1/2/96,8/6/01
TKR,1/2/96,8/7/01
AGC,1/2/96,8/29/01
OKE,1/2/96,8/30/01
BVSN,11/6/00,9/4/01
TOS,9/20/99,9/17/01
GX,9/29/99,10/10/01
TX,1/2/96,10/10/01
GPU,1/2/96,11/7/01
ENRNQ,1/2/96,11/30/01
NSI,1/2/96,12/3/01
RAL,1/2/96,12/13/01
HM,1/2/96,12/17/01
FMC,1/2/96,1/2/02
KM,1/2/96,1/17/02
MEA,1/2/96,1/30/02
NMK,1/2/96,2/1/02
WLL,1/2/96,2/11/02
CPQ,1/2/96,5/6/02
SAPE,5/5/00,5/13/02
UAWGQ,1/2/96,5/15/02
WCOEQ,4/1/96,5/15/02
CNXT,1/31/00,6/26/02
IMNX,9/21/01,7/16/02
ABX,1/2/96,7/22/02
AL,1/2/96,7/22/02
INCLF,1/2/96,7/22/02
NRTLQ,1/2/96,7/22/02
PDG,1/2/96,7/22/02
RDS.A,1/2/96,7/22/02
UN,1/2/96,7/22/02
CNC,1/15/97,7/25/02
PALM,7/28/00,8/14/02
VTSS,12/12/00,8/21/02
COC.B,8/9/99,9/3/02
TRW,1/2/96,12/12/02
RATL,2/1/02,2/21/03
AAMRQ,1/2/96,3/14/03
EHC,1/8/97,3/21/03
HI,1/2/96,3/31/03
PHA,1/2/96,4/16/03
MIR,4/3/01,7/17/03
MDR,1/2/96,8/20/03
QTRN,11/16/99,9/26/03
BGEN,1/31/00,11/13/03
CE,4/2/01,2/27/04
TUP,5/31/96,3/25/04
FBF,1/2/96,4/1/04
PCS,11/24/98,4/23/04
JHF,6/29/01,4/29/04
AM,1/2/96,5/3/04
ONE,1/2/96,7/1/04
UPC,10/1/98,7/1/04
TNB,1/2/96,8/3/04
CF,6/19/00,9/1/04
AWE,7/9/01,10/27/04
SOTR,3/1/99,11/1/04
WLP,6/9/99,12/1/04
WNDXQ,1/2/96,12/3/04
CR,1/2/96,12/20/04
DLX,1/2/96,12/20/04
WOR,1/2/96,12/20/04
PSFT,10/2/98,12/29/04
PWER,10/23/00,3/14/05
GLK,1/2/96,7/5/05
VRTS,4/3/00,7/5/05
TOY,1/2/96,7/22/05
UCL,1/2/96,8/11/05
SDS,7/22/02,8/12/05
NXTL,4/1/98,8/15/05
DALRQ,1/2/96,8/19/05
MAY,1/2/96,8/29/05
G,1/2/96,10/3/05
PVN,1/2/96,10/3/05
DPHIQ,5/28/99,10/11/05
CPNLQ,12/1/00,12/2/05
GP,1/2/96,12/20/05
KRB,1/2/96,1/3/06
VSTNQ,6/29/00,1/3/06
MERQ,6/29/00,1/4/06
RBK,1/2/96,2/1/06
SEBL,5/5/00,2/1/06
SFA,1/2/96,2/27/06
DCNAQ,1/2/96,3/3/06
BR,1/2/96,4/3/06
CIN,1/2/96,4/3/06
JP,1/2/96,4/3/06
MYG,1/2/96,4/3/06
CHIR,11/24/00,4/20/06
GDT,12/19/96,4/24/06
AMCC,1/2/01,5/18/06
ABS,1/2/96,6/2/06
EC,1/2/96,6/6/06
KRI,1/2/96,6/28/06
CTB,1/2/96,7/18/06
CAR,1/2/96,8/1/06
GTW,4/27/98,8/1/06
KMG,1/2/96,8/11/06
ANDW,1/2/96,10/2/06
GDW,1/2/96,10/2/06
ASO,3/10/99,11/6/06
FSH,8/3/04,11/10/06
LPX,1/2/96,11/10/06
ACV,1/2/96,11/17/06
HCA,1/2/96,11/20/06
LU,10/1/96,12/1/06
NFB,7/17/02,12/1/06
FSL,12/3/04,12/4/06
NAV,1/2/96,12/20/06
BLS,1/2/96,1/3/07
PTC,4/3/97,1/3/07
SBL,12/11/00,1/10/07
CMVT,10/27/99,2/1/07
EOP,10/10/01,2/12/07
APCC,6/1/00,2/15/07
PGL,1/2/96,2/22/07
HMA,11/7/01,3/2/07
PD,1/2/96,3/20/07
CMX,3/25/04,3/23/07
UVN,2/7/01,3/29/07
TSG,3/16/00,4/2/07
H,8/1/06,4/10/07
KMI,12/12/00,5/31/07
MEDI,6/16/00,6/1/07
ADCT,8/2/99,7/2/07
MEL,1/2/96,7/2/07
PMCS,8/3/01,7/2/07
SANM,6/21/00,7/2/07
DG,7/16/98,7/9/07
BMET,1/2/96,7/12/07
KSE,8/21/00,8/27/07
CBSS,12/20/04,9/7/07
FDC,1/2/96,9/25/07
MXIM,5/10/00,9/27/07
NCR,1/4/00,10/1/07
SLR,12/31/98,10/2/07
ASN,12/20/04,10/8/07
TXU,1/2/96,10/10/07
HLT,1/2/96,10/25/07
AV,10/2/00,10/26/07
BOL,1/2/96,10/29/07
HCR,9/28/98,11/9/07
TEK,1/2/96,11/16/07
AT,1/2/96,11/19/07
DJ,1/2/96,12/14/07
TRB,1/2/96,12/21/07
TIN,1/2/96,12/31/07
SNV,12/1/97,1/2/08
HET,1/2/96,1/29/08
CBH,6/6/06,3/31/08
CCTYQ,1/2/96,3/31/08
BSC,7/1/98,6/2/08
TT,5/13/02,6/6/08
ABKFQ,12/11/00,6/11/08
BC,1/2/96,6/23/08
OMX,1/2/96,6/23/08
CFC,6/18/97,7/1/08
SSP,12/20/05,7/1/08
CCU,9/2/97,7/31/08
IAC,12/1/06,8/21/08
EDS,8/11/98,8/26/08
FMCC,1/2/96,9/11/08
FNMA,1/2/96,9/11/08
LEHMQ,1/12/98,9/17/08
SAF,1/2/96,9/23/08
WAMUQ,7/2/97,9/30/08
WEN,1/2/96,9/30/08
WWY,1/2/96,10/7/08
DDS,1/2/96,10/22/08
MTG,7/19/96,10/31/08
TEX,12/20/06,11/6/08
UIS,1/2/96,11/11/08
GGP,7/2/07,11/13/08
ASH,1/2/96,11/14/08
HPC,1/2/96,11/14/08
BUD,1/2/96,11/18/08
ABI,1/2/96,11/24/08
KATE,1/2/96,12/2/08
AW,8/2/99,12/5/08
RIG,12/31/99,12/19/08
BRL,2/27/06,12/23/08
MER,1/2/96,1/2/09
NCC,1/2/96,1/2/09
WB,1/2/96,1/2/09
UST,1/2/96,1/6/09
SOV,7/1/04,1/30/09
WFT,7/22/05,2/26/09
ACAS,7/9/07,3/4/09
JNY,12/17/01,3/4/09
NE,1/16/01,3/27/09
DDR,3/23/07,3/30/09
ROH,1/2/96,4/2/09
MTLQQ,1/2/96,6/3/09
COV,7/2/07,6/5/09
TEL,7/2/07,6/26/09
EQ,5/18/06,7/1/09
IR,1/2/96,7/1/09
CITGQ,10/27/04,7/27/09
CTX,1/2/96,8/19/09
MTW,11/16/07,9/1/09
CBE,1/2/96,9/9/09
WYE,1/2/96,10/16/09
SGP,1/2/96,11/4/09
CIEN,8/30/01,12/21/09
CVG,6/13/00,12/21/09
DYN,10/3/00,12/21/09
KBH,1/2/96,12/21/09
MBI,12/3/96,12/21/09
ESV,1/4/07,12/23/09
JAVA,1/2/96,1/27/10
ACS,4/2/04,2/8/10
BNI,1/2/96,2/16/10
RX,11/4/96,2/26/10
PBG,5/14/01,3/1/10
BDK,1/2/96,3/15/10
BJS,5/15/02,4/29/10
XTO,12/29/04,6/28/10
STR,12/1/06,7/1/10
MIL,1/2/96,7/15/10
SII,10/2/06,8/27/10
PTV,11/5/99,11/17/10
EKDKQ,1/2/96,12/20/10
KG,10/3/00,12/20/10
NYT,1/2/96,12/20/10
ODP,6/24/99,12/20/10
MDP,1/2/96,1/4/11
QLGC,12/12/00,1/18/11
AYE,12/11/00,2/28/11
MFE,12/23/08,3/1/11
Q,7/6/00,4/1/11
GENZ,12/14/01,4/4/11
NOVL,1/2/96,4/28/11
MEE,6/23/08,6/2/11
RSHCQ,1/2/96,7/1/11
MI,2/11/02,7/6/11
NSM,1/2/96,9/26/11
CEPH,11/17/08,10/14/11
